chr1	11869	14409	ID=ENSG00000290825.1;gene_id=ENSG00000290825.1;gene_type=lncRNA;gene_name=DDX11L2;level=2;tag=overlaps_pseudogene	gene	+	HAVANA	DDX11L2	ENSG00000290825.1	lncRNA	2
chr1	12010	13670	ID=ENSG00000223972.6;gene_id=ENSG00000223972.6;gene_type=transcribed_unprocessed_pseudogene;gene_name=DDX11L1;level=2;hgnc_id=HGNC:37102;havana_gene=OTTHUMG00000000961.2	gene	+	HAVANA	DDX11L1	ENSG00000223972.6	transcribed_unprocessed_pseudogene	2
chr1	14404	29570	ID=ENSG00000227232.5;gene_id=ENSG00000227232.5;gene_type=unprocessed_pseudogene;gene_name=WASH7P;level=2;hgnc_id=HGNC:38034;havana_gene=OTTHUMG00000000958.1	gene	-	HAVANA	WASH7P	ENSG00000227232.5	unprocessed_pseudogene	2
chr1	17369	17436	ID=ENSG00000278267.1;gene_id=ENSG00000278267.1;gene_type=miRNA;gene_name=MIR6859-1;level=3;hgnc_id=HGNC:50039	gene	-	ENSEMBL	MIR6859-1	ENSG00000278267.1	miRNA	3
chr1	29554	31109	ID=ENSG00000243485.5;gene_id=ENSG00000243485.5;gene_type=lncRNA;gene_name=MIR1302-2HG;level=2;hgnc_id=HGNC:52482;tag=ncRNA_host;havana_gene=OTTHUMG00000000959.2	gene	+	HAVANA	MIR1302-2HG	ENSG00000243485.5	lncRNA	2
chr1	30366	30503	ID=ENSG00000284332.1;gene_id=ENSG00000284332.1;gene_type=miRNA;gene_name=MIR1302-2;level=3;hgnc_id=HGNC:35294	gene	+	ENSEMBL	MIR1302-2	ENSG00000284332.1	miRNA	3
chr1	34554	36081	ID=ENSG00000237613.2;gene_id=ENSG00000237613.2;gene_type=lncRNA;gene_name=FAM138A;level=2;hgnc_id=HGNC:32334;havana_gene=OTTHUMG00000000960.1	gene	-	HAVANA	FAM138A	ENSG00000237613.2	lncRNA	2
chr1	52473	53312	ID=ENSG00000268020.3;gene_id=ENSG00000268020.3;gene_type=unprocessed_pseudogene;gene_name=OR4G4P;level=2;hgnc_id=HGNC:14822;havana_gene=OTTHUMG00000185779.1	gene	+	HAVANA	OR4G4P	ENSG00000268020.3	unprocessed_pseudogene	2
chr1	57598	64116	ID=ENSG00000290826.1;gene_id=ENSG00000290826.1;gene_type=lncRNA;gene_name=ENSG00000290826;level=2;tag=overlaps_pseudogene	gene	+	HAVANA	ENSG00000290826	ENSG00000290826.1	lncRNA	2
chr1	62949	63887	ID=ENSG00000240361.3;gene_id=ENSG00000240361.3;gene_type=transcribed_unprocessed_pseudogene;gene_name=OR4G11P;level=2;hgnc_id=HGNC:31276;havana_gene=OTTHUMG00000001095.3	gene	+	HAVANA	OR4G11P	ENSG00000240361.3	transcribed_unprocessed_pseudogene	2
chr1	65419	71585	ID=ENSG00000186092.7;gene_id=ENSG00000186092.7;gene_type=protein_coding;gene_name=OR4F5;level=2;hgnc_id=HGNC:14825;havana_gene=OTTHUMG00000001094.4	gene	+	HAVANA	OR4F5	ENSG00000186092.7	protein_coding	2
chr1	89295	133723	ID=ENSG00000238009.6;gene_id=ENSG00000238009.6;gene_type=lncRNA;gene_name=ENSG00000238009;level=2;tag=overlapping_locus;havana_gene=OTTHUMG00000001096.2	gene	-	HAVANA	ENSG00000238009	ENSG00000238009.6	lncRNA	2
chr1	89551	91105	ID=ENSG00000239945.1;gene_id=ENSG00000239945.1;gene_type=lncRNA;gene_name=ENSG00000239945;level=2;tag=overlapping_locus;havana_gene=OTTHUMG00000001097.2	gene	-	HAVANA	ENSG00000239945	ENSG00000239945.1	lncRNA	2
chr1	131025	134836	ID=ENSG00000233750.3;gene_id=ENSG00000233750.3;gene_type=processed_pseudogene;gene_name=CICP27;level=1;hgnc_id=HGNC:48835;tag=pseudo_consens;havana_gene=OTTHUMG00000001257.3	gene	+	HAVANA	CICP27	ENSG00000233750.3	processed_pseudogene	1
chr1	135141	135895	ID=ENSG00000268903.1;gene_id=ENSG00000268903.1;gene_type=processed_pseudogene;gene_name=ENSG00000268903;level=2;havana_gene=OTTHUMG00000182518.2	gene	-	HAVANA	ENSG00000268903	ENSG00000268903.1	processed_pseudogene	2
chr1	137682	137965	ID=ENSG00000269981.1;gene_id=ENSG00000269981.1;gene_type=processed_pseudogene;gene_name=ENSG00000269981;level=2;havana_gene=OTTHUMG00000182738.2	gene	-	HAVANA	ENSG00000269981	ENSG00000269981.1	processed_pseudogene	2
chr1	139790	140339	ID=ENSG00000239906.1;gene_id=ENSG00000239906.1;gene_type=lncRNA;gene_name=ENSG00000239906;level=2;havana_gene=OTTHUMG00000002481.1	gene	-	HAVANA	ENSG00000239906	ENSG00000239906.1	lncRNA	2
chr1	141474	173862	ID=ENSG00000241860.7;gene_id=ENSG00000241860.7;gene_type=lncRNA;gene_name=ENSG00000241860;level=2;tag=ncRNA_host;havana_gene=OTTHUMG00000002480.4	gene	-	HAVANA	ENSG00000241860	ENSG00000241860.7	lncRNA	2
chr1	157784	157887	ID=ENSG00000222623.1;gene_id=ENSG00000222623.1;gene_type=snRNA;gene_name=RNU6-1100P;level=3;hgnc_id=HGNC:48063	gene	-	ENSEMBL	RNU6-1100P	ENSG00000222623.1	snRNA	3
chr1	160446	161525	ID=ENSG00000241599.1;gene_id=ENSG00000241599.1;gene_type=lncRNA;gene_name=ENSG00000241599;level=2;havana_gene=OTTHUMG00000002525.1	gene	+	HAVANA	ENSG00000241599	ENSG00000241599.1	lncRNA	2
chr1	182696	184174	ID=ENSG00000279928.2;gene_id=ENSG00000279928.2;gene_type=unprocessed_pseudogene;gene_name=DDX11L17;level=2;hgnc_id=HGNC:55080;havana_gene=OTTHUMG00000191962.1	gene	+	HAVANA	DDX11L17	ENSG00000279928.2	unprocessed_pseudogene	2
chr1	185217	195411	ID=ENSG00000279457.4;gene_id=ENSG00000279457.4;gene_type=unprocessed_pseudogene;gene_name=WASH9P;level=2;hgnc_id=HGNC:53981;havana_gene=OTTHUMG00000191963.1	gene	-	HAVANA	WASH9P	ENSG00000279457.4	unprocessed_pseudogene	2
chr1	187891	187958	ID=ENSG00000273874.1;gene_id=ENSG00000273874.1;gene_type=miRNA;gene_name=MIR6859-2;level=3;hgnc_id=HGNC:49954	gene	-	ENSEMBL	MIR6859-2	ENSG00000273874.1	miRNA	3
chr1	257864	359681	ID=ENSG00000228463.10;gene_id=ENSG00000228463.10;gene_type=transcribed_processed_pseudogene;gene_name=ENSG00000228463;level=1;tag=pseudo_consens;havana_gene=OTTHUMG00000002552.3	gene	-	HAVANA	ENSG00000228463	ENSG00000228463.10	transcribed_processed_pseudogene	1
chr1	266855	268655	ID=ENSG00000286448.1;gene_id=ENSG00000286448.1;gene_type=lncRNA;gene_name=ENSG00000286448;level=2;havana_gene=OTTHUMG00000194680.1	gene	+	HAVANA	ENSG00000286448	ENSG00000286448.1	lncRNA	2
chr1	347982	348366	ID=ENSG00000236679.2;gene_id=ENSG00000236679.2;gene_type=processed_pseudogene;gene_name=RPL23AP24;level=1;hgnc_id=HGNC:36176;tag=pseudo_consens;havana_gene=OTTHUMG00000002854.4	gene	-	HAVANA	RPL23AP24	ENSG00000236679.2	processed_pseudogene	1
chr1	358857	366052	ID=ENSG00000236601.2;gene_id=ENSG00000236601.2;gene_type=lncRNA;gene_name=ENSG00000236601;level=2;havana_gene=OTTHUMG00000002855.3	gene	+	HAVANA	ENSG00000236601	ENSG00000236601.2	lncRNA	2
chr1	365389	522928	ID=ENSG00000290385.1;gene_id=ENSG00000290385.1;gene_type=lncRNA;gene_name=ENSG00000290385;level=2;tag=ncRNA_host,overlaps_pseudogene	gene	-	HAVANA	ENSG00000290385	ENSG00000290385.1	lncRNA	2
chr1	439870	440232	ID=ENSG00000269732.1;gene_id=ENSG00000269732.1;gene_type=processed_pseudogene;gene_name=WBP1LP7;level=1;hgnc_id=HGNC:43955;tag=pseudo_consens;havana_gene=OTTHUMG00000002859.2	gene	+	HAVANA	WBP1LP7	ENSG00000269732.1	processed_pseudogene	1
chr1	450740	451678	ID=ENSG00000284733.2;gene_id=ENSG00000284733.2;gene_type=protein_coding;gene_name=OR4F29;level=2;hgnc_id=HGNC:31275;havana_gene=OTTHUMG00000002860.3	gene	-	HAVANA	OR4F29	ENSG00000284733.2	protein_coding	2
chr1	485026	485208	ID=ENSG00000237094.13;gene_id=ENSG00000237094.13;gene_type=transcribed_unprocessed_pseudogene;gene_name=ENSG00000237094;level=2;havana_gene=OTTHUMG00000002857.7	gene	-	HAVANA	ENSG00000237094	ENSG00000237094.13	transcribed_unprocessed_pseudogene	2
